Link,Speakers,City,Category,Trim
https://www.youtube.com/watch?v=UJV5NAsA7LI,1,Zalau,Studio,3:07-8:20
https://www.youtube.com/watch?v=9p2CkNVw6j0,1,Zalau,Studio,1:00:5:39
https://www.youtube.com/watch?v=3JU34CNb-dk,1,Brasov,ITW,0:00-7:20
https://www.youtube.com/watch?v=-Ia-qL86HZU,1,Brasov,ITW,
https://www.youtube.com/watch?v=Dg8mZb62zj8,1,Brasov,ITW,
https://www.youtube.com/watch?v=RxelCFAPPCA,1,Brasov,ITW,
https://www.youtube.com/watch?v=oPED5dEh9XQ,1,Brasov,ITW,
https://www.youtube.com/watch?v=nNTK44egXZY,1,Brasov,ITW,0:00-4:15
https://www.youtube.com/watch?v=pXJ9_Z1K4PA,1,Brasov,ITW,
https://www.youtube.com/watch?v=BXkMEhe31XY,1,Brasov,ITW,0:00-5:00
https://www.youtube.com/watch?v=DQa2uPC7N1A,1,Brasov,ITW,
https://www.youtube.com/watch?v=KyCwGL0aMQg,1,Brasov,ITW,
https://www.youtube.com/watch?v=1NkDvRq34vs,1,Brasov,ITW,
https://www.youtube.com/watch?v=4hkblcAxrqk,1,Brasov,ITW,0:00-5:48
https://www.youtube.com/watch?v=6oBqSDZmUOA,1,Cluj-Napoca,ITW,
https://www.youtube.com/watch?v=s0UAMugeynI,1,Cluj-Napoca,ITW,
https://www.youtube.com/watch?v=ngBLDdqZ6U8,1,Cluj-Napoca,ITW,0:00-6:46
https://www.youtube.com/watch?v=LV31NAzf3WY,1,Cluj-Napoca,ITW,
https://www.youtube.com/watch?v=1xSD71sMTB0,1,Cluj-Napoca,ITW,6:48-14:35
https://www.youtube.com/watch?v=fh8JHfpj2I8,1,Cluj-Napoca,ITW,0:00-7:00
https://www.youtube.com/watch?v=EVr0CzpDfvY,1,Cluj-Napoca,ITW,
https://www.youtube.com/watch?v=1UTGWMoCbKw,1,Cluj-Napoca,ITW,0:00-2:51
https://www.youtube.com/watch?v=JN5XTTn2uUo,1,Cluj-Napoca,ITW,0:00-3:20
https://www.youtube.com/watch?v=sLKXBRxosSU,1,Cluj-Napoca,ITW,19:28-26:52
https://www.youtube.com/watch?v=Ak1duaxrp60,1,Cluj-Napoca,ITW,2:09-7:27
https://www.youtube.com/watch?v=BAaEbqM3hpM,1,Cluj-Napoca,ITW,
https://www.youtube.com/watch?v=9EgA4QoK3VY,1,Oradea,ITW,
https://www.youtube.com/watch?v=6VuFc2A7SB8,1,Oradea,ITW,
https://www.youtube.com/watch?v=truxjdLAE2Q,1,Sfantu Gheorghe,ITW,1:00-6:00
https://www.youtube.com/watch?v=nvfa6KCpbWY,1,Sfantu Gheorghe,ITW,
https://www.youtube.com/watch?v=nIIclCwYacg,1,Sfantu Gheorghe,ITW,
https://www.youtube.com/watch?v=ssJhMM1x1OM,1,Sfantu Gheorghe,ITW,1:00-5:00
https://www.youtube.com/watch?v=AIg6JjzPiSI,1,Sibiu,ITW,0:00-10:00
https://www.youtube.com/watch?v=WPCx6pLwulQ,1,Sibiu,ITW,
https://www.youtube.com/watch?v=1Dgv2Uy_Ig8,1,Targu-Mures,ITW,12:40-18:08
https://www.youtube.com/watch?v=SbWbA9wjiA4,1,Targu-Mures,ITW,12:30-19:40
https://www.youtube.com/watch?v=NPuzmiLlRho,1,Targu-Mures,ITW,1:30-10:06
https://www.youtube.com/watch?v=0cnAl-z9wrM,1,Targu-Mures,ITW,1:10-4:36
https://www.youtube.com/watch?v=5Y7Y20X-9zk,1,Targu-Mures,ITW,23:18-29:36
https://www.youtube.com/watch?v=2glCHsqvy-A,1,Timisoara,ITW,
https://www.youtube.com/watch?v=UeteerBMj34,1,Timisoara,ITW,
https://www.youtube.com/watch?v=jdLmQ0hUpHY,1,Timisoara,ITW,0:00-9:00
https://www.youtube.com/watch?v=4cx2SvIejsA,1,Targu-Mures,Studio,
